postal,Name,Population,AllClasses_Count,BodyAttack_Count,BodyCombat_Count,BodyPump_Count,BodyStep_Count,Sprint_Count,AllClasses,BodyAttack,BodyCombat,BodyPump,BodyStep,Sprint
AL,Alabama,"4,903,185.00",65,23,27,53,16,20,13.26,4.69,5.51,10.81,3.26,4.08
AR,Arkansas,"3,017,825.00",16,1,4,13,4,4,5.30,0.33,1.33,4.31,1.33,1.33
AZ,Arizona,"6,392,017.00",56,12,33,53,10,1,8.76,1.88,5.16,8.29,1.56,0.16
CA,Calfornia,"39,512,223.00",484,51,280,288,9,111,12.25,1.29,7.09,7.29,0.23,2.81
CO,Colorado,"5,758,736.00",126,14,72,118,12,25,21.88,2.43,12.50,20.49,2.08,4.34
CT,Connecticut,"3,565,287.00",51,4,16,50,4,0,14.30,1.12,4.49,14.02,1.12,0.00
DC,DC,"705,749.00",24,1,9,23,1,0,34.01,1.42,12.75,32.59,1.42,0.00
DE,Delaware,"973,764.00",17,4,12,17,3,7,17.46,4.11,12.32,17.46,3.08,7.19
FL,Florida,"21,477,737.00",215,39,119,154,8,47,10.01,1.82,5.54,7.17,0.37,2.19
GA,Georgia,"10,617,423.00",81,22,46,78,29,17,7.63,2.07,4.33,7.35,2.73,1.60
IA,Iowa,"3,155,070.00",49,10,15,48,8,6,15.53,3.17,4.75,15.21,2.54,1.90
ID,Idaho,"1,792,065.00",17,12,12,16,7,1,9.49,6.70,6.70,8.93,3.91,0.56
IL,Illinois,"12,671,821.00",132,32,51,119,21,35,10.42,2.53,4.02,9.39,1.66,2.76
IN,Indiana,"6,732,219.00",64,23,14,58,8,2,9.51,3.42,2.08,8.62,1.19,0.30
KS,Kansas,"2,913,314.00",29,2,5,20,3,2,9.95,0.69,1.72,6.87,1.03,0.69
KY,Kentucky,"4,467,673.00",22,0,1,21,0,0,4.92,0.00,0.22,4.70,0.00,0.00
LA,Louisiana,"4,648,794.00",74,15,33,56,12,20,15.92,3.23,7.10,12.05,2.58,4.30
MA,Massachusetts,"6,949,503.00",100,14,45,97,9,11,14.39,2.01,6.48,13.96,1.30,1.58
MD,Maryland,"6,045,680.00",125,36,65,117,29,42,20.68,5.95,10.75,19.35,4.80,6.95
ME,Maine,"1,344,212.00",10,3,6,10,0,1,7.44,2.23,4.46,7.44,0.00,0.74
MI,Michigan,"9,986,857.00",43,8,23,42,10,7,4.31,0.80,2.30,4.21,1.00,0.70
MN,Minnesota,"5,639,632.00",59,3,8,53,5,3,10.46,0.53,1.42,9.40,0.89,0.53
MO,Missouri,"6,137,428.00",87,13,32,85,15,30,14.18,2.12,5.21,13.85,2.44,4.89
MS,Mississippi,"2,976,149.00",21,6,10,18,2,4,7.06,2.02,3.36,6.05,0.67,1.34
MT,Montana,"1,068,778.00",19,8,7,14,2,11,17.78,7.49,6.55,13.10,1.87,10.29
NC,North Carolina,"10,488,084.00",131,22,50,124,21,23,12.49,2.10,4.77,11.82,2.00,2.19
ND,North Dakota,"762,062.00",15,2,2,8,2,2,19.68,2.62,2.62,10.50,2.62,2.62
NE,Nebraska,"1,934,408.00",27,6,11,26,3,2,13.96,3.10,5.69,13.44,1.55,1.03
NH,New Hampshire,"1,359,711.00",21,1,14,20,8,1,15.44,0.74,10.30,14.71,5.88,0.74
NJ,New Jersey,"8,882,190.00",100,16,62,99,12,27,11.26,1.80,6.98,11.15,1.35,3.04
NM,New Mexico,"2,096,829.00",23,6,14,23,4,0,10.97,2.86,6.68,10.97,1.91,0.00
NV,Nevada,"3,080,156.00",36,8,24,35,4,8,11.69,2.60,7.79,11.36,1.30,2.60
NY,New York,"19,453,561.00",172,28,71,161,17,24,8.84,1.44,3.65,8.28,0.87,1.23
OH,Ohio,"11,689,100.00",53,3,16,52,2,11,4.53,0.26,1.37,4.45,0.17,0.94
OK,Oklahoma,"3,956,971.00",41,0,9,36,0,0,10.36,0.00,2.27,9.10,0.00,0.00
OR,Oregon,"4,217,737.00",33,7,16,0,0,2,7.82,1.66,3.79,0.00,0.00,0.47
PA,Pennsylvania,"12,801,989.00",166,35,99,161,41,31,12.97,2.73,7.73,12.58,3.20,2.42
RI,Rhode Island,"1,059,361.00",17,3,12,17,2,5,16.05,2.83,11.33,16.05,1.89,4.72
SC,South Carolina,"5,148,714.00",70,21,41,65,22,7,13.60,4.08,7.96,12.62,4.27,1.36
SD,South Dakota,"884,659.00",6,0,1,4,0,1,6.78,0.00,1.13,4.52,0.00,1.13
TN,Tennessee,"6,833,174.00",64,29,30,61,22,16,9.37,4.24,4.39,8.93,3.22,2.34
TX,Texas,"28,995,881.00",349,81,205,318,61,81,12.04,2.79,7.07,10.97,2.10,2.79
UT,Utah,"3,205,958.00",23,10,19,22,7,5,7.17,3.12,5.93,6.86,2.18,1.56
VA,Virginia,"8,535,519.00",159,52,103,151,55,42,18.63,6.09,12.07,17.69,6.44,4.92
VT,Vermont,"623,989.00",14,4,5,13,4,3,22.44,6.41,8.01,20.83,6.41,4.81
WA,Washington,"7,614,893.00",82,15,40,10,11,16,10.77,1.97,5.25,1.31,1.44,2.10
WI,Wisconsin,"5,822,434.00",90,17,35,85,12,14,15.46,2.92,6.01,14.60,2.06,2.40
WV,West Virginia,"1,787,145.00",13,2,6,13,1,1,7.27,1.12,3.36,7.27,0.56,0.56
WY,Wyoming,"578,759.00",1,1,1,1,1,1,1.73,1.73,1.73,1.73,1.73,1.73
